Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Reason,K,Comments
19,2581522,8358,1994,PLYMOUTH,GRAND VOYA,1P4GH44R5RX355043,ACCIDENT, ,
20,2584911,8510,2000,CHEVROLET,SILVERADO,2GCEC19V5Y1199550,ACCIDENT,K,
21,2590437,8794,2006,BUICK,LUCERNE,1G4HD57256U149271,ILLEGALLY PARKED,K,STARTS 
22,2579500,8246,2002,BUICK,PARK AVENUE,1G4CW54K424193314,STOLEN, ,
23,2520150,5535,2013,DODGE,DART,1C3CDFBH9DD219369,ARREST,,
24,2588944,8702,2000,CHEVROLET,CAVALIER,4G1JF32T0YB902036,ACCIDENT,K,
25,2591281,8823,2000,HONDA,CIVIC,JHMEJ6676YS006121,STOLEN,,
26,2594477,8993,2009,CHEVROLET,HHR,3GNCA23B89S515327,ABANDONED, ,
27,2591298,8822,2009,CHEVROLET,IMPALA,2G1WU57M491265373,ABANDONED, ,
28,2580228,8297,2002,HYUNDAI,ELANTRA,KMHDN45D92U401057,ARREST,,
29,2581038,8328,1999,FORD,EXPLORER,1FMZU34E1XZB54558,ACCIDENT, ,
30,2603726,9455,1999,GMC,SIERRA,2GTEC19T1X1530413,ARREST, ,
31,2590455,8797,2003,FORD,TAURUS,1FAFP55223G167183,STOLEN,K,
32,2590630,8801,2003,PONTIAC,SUNFIRE,1G2JB12F837350269,ACCIDENT,K,
33,2591366,8827,2003,SATURN,VUE,5GZCZ53B53S883789,ARREST,K,
34,2591410,8829,1997,FORD,F150,1FTDF1720VKB66625,ARREST,K,
35,2581821,8370,2002,TOYOTA,SEQUOIA,5TDBT48A22S091647,ACCIDENT, ,
36,2602640,9393,2005,HONDA,ACCORD,1HGCM82795A000012,ARREST,K,
37,2610106,9764,2014,CHEVROLET,CRUZE,1G1PC5SB0E7333632,ABANDONED,K,
38,2603307,9426,2009,FORD,FUSION,3FAHP08159R147915,ACCIDENT, ,
39,2604454,9489,2005,CHEVROLET,COBALT,1G1AK12F657651016,ABANDONED, ,
40,2614646,10020,2002,CHEVROLET,ASTRO VAN,1GCDM19X02B134090,ARREST, ,
41,2581921,8375,2016,FORD,FUSION,3FA6P0G76GR282234,ACCIDENT, ,
42,2582048,8380,2016,MITSUBISHI,OTHER,JA4AP3AU6GZ064708,ACCIDENT,K,
43,2582034,8382,2003,ACURA,TL,19UUA56643A020226,ABANDONED, ,
44,2595971,9070,2002,FORD,FOCUS,1FAFP34392W358165,ILLEGALLY PARKED, ,
45,2598453,9184,2004,CHRYSLER,SEBRING,1C3EL56R64N385626,ACCIDENT, ,
46,2582866,8414,2006,CHRYSLER,PACIFICA,2A4GM68456R867240,ACCIDENT, ,
47,2583065,8418,2004,FORD,RANGER,1FTYR10U14PB37592,ILLEGALLY PARKED, ,
48,2594588,8999,2011,CHEVROLET,MALIBU,1G1ZB5E16BF206447,ARREST,K,PREMIUM STARTS
49,2592785,8903,1988,VOLKSWAGEN,CABRIOLET,WVWCA0158JK002850,OTHER, ,
50,2594532,8996,1999,HONDA,ACCORD,1HGCG5651XA044295,ACCIDENT, ,
51,2582183,8395,1997,PLYMOUTH,BREEZE,1P3EJ46C4VN645417,ILLEGALLY PARKED, ,
52,2585075,8518,2000,HONDA,ACCORD,1HGCG3256YA016908,ACCIDENT,,
53,2582981,8416,2012,FORD,EXPLORER,1FMHK7D87CGA82449,ACCIDENT, ,
54,2585063,8519,2004,CHRYSLER,SEBRING,4C3AG42G34E078835,ACCIDENT, ,
55,2588904,8703,2002,HYUNDAI,SONATA,KMHWF25S82A563093,ACCIDENT, ,
56,2588393,8676,2000,INFINITI,I30,JNKCA31A7YT115142,ABANDONED, ,
57,2421261,1256,2011,CHEVROLET,HHR,3GNBABFW6BS651472,ARREST,,
58,2583293,8431,2005,ACURA,TL,19UUA66295A003525,ACCIDENT, ,
60,2591636,8838,2005,CADILLAC,STS,1G6DW677450172208,ACCIDENT, ,
61,2588400,8677,1998,GMC,SONOMA,1GTCS1448W8539129,ABANDONED, ,
62,2590696,8802,1999,HONDA,ACCORD,1HGCG1650XA004248,ACCIDENT, ,
63,2588820,8696,2004,CHEVROLET,TAHOE,1GNEK13Z74R106437,ACCIDENT, ,
64,2585045,8516,2001,HONDA,ODYSSEY,2HKRL18501H590998,ARREST,K,
65,2582808,8413,2003,CHEVROLET,TAHOE,1GNEK13ZX3J219487,ACCIDENT, ,
66,2591081,8815,2014,CHEVROLET,OTHER,2G1WB5E31E1144651,ACCIDENT, ,
67,2582696,8410,2006,CHEVROLET,IMPALA,2G1WC581169119307,ACCIDENT,,
68,2588227,8668,2008,CHEVROLET,HHR,3GNDA13DX8S522925,ILLEGALLY PARKED, ,PREMIUM 
69,2588284,8669,2005,TOYOTA,CAMRY,4T1BE32K35U002301,ACCIDENT,,
70,2584385,8472,1998,MERCURY,GRAND MARQ,2MEFM75W2WX656438,ILLEGALLY PARKED, ,
71,2582178,8396,2006,NISSAN,ALTIMA,1N4AL11D86N300065,ABANDONED, ,
72,2601653,9322,2000,FORD,F150,1FTRX08L7YKB19441,ACCIDENT, ,
73,2591903,8851,2009,HONDA,OTHER,JH2SC51069K700108,ACCIDENT,K,
74,2614579,10011,1989,HONDA,MC - SPORT,JH2RC3103KM102880,ACCIDENT,K,
75,2596082,9077,1998,MITSUBISHI,DIAMANTE,6MMAP37PXWT000069,ILLEGALLY PARKED, ,
76,2588362,8675,1998,BUICK,CENTURY,2G4WS52M7W1574122,ABANDONED, ,
77,2584376,8476,2001,JEEP,GRAND CHER,1J4GX48SX1C637141,ILLEGALLY PARKED,K,
78,2609130,9722,2000,NISSAN,MAXIMA,JN1CA31D4YT722971,ACCIDENT, ,
79,2588462,8679,2003,FORD,FOCUS,1FAFP38323W342286,ABANDONED, ,
80,2591021,8811,2000,FORD,MUSTANG,1FAFP4040YF109802,ACCIDENT,K,
81,2249248,893108,1991,FORD,F150,1FTEF15Y6MPB20326,ABANDONED, ,
82,2588805,8694,2000,FORD,CONTOUR,1FAFP66L9YK128818,STOLEN, ,
83,2583459,8441,1990,CHEVROLET,CAPRICE,1G1BU54E3LR119847,ABANDONED, ,
84,2588815,8698,1997,FORD,EXPEDITION,1FMEU18W4VLB92839,ARREST,K,
85,2590120,8777,2002,CHEVROLET,CAVALIER,1G1JC124927452744,ARREST,K,
86,2580283,8299,1999,DODGE,RAM,1B7HC16X9XS259668,STOLEN, ,
87,2601917,9341,2002,PONTIAC,GRAND AM,1G2NW12E92C166364,ARREST,K,
88,2583621,8449,1994,GMC,SIERRA,2GTEK19K1R1525953,ABANDONED, ,
89,2600238,9275,2006,PONTIAC,G6,1G2ZH158X64165337,ILLEGALLY PARKED, ,
90,2591137,8818,2016,JEEP,CHEROKEE,1C4PJMCS7GW101852,ACCIDENT, ,
91,2605954,9571,1997,FORD,RANGER,1FTCR10A4VPB14437,ABANDONED, ,
92,2598813,9203,1997,CHEVROLET,MALIBU,1G1ND52T4V6156702,ACCIDENT, ,
93,2584571,8485,2007,GMC,YUKON XL 1500,1GKFK66877J294249,ACCIDENT, ,
94,2584511,8482,2005,NISSAN,ALTIMA,1N4AL11D75C135183,ARREST, ,
95,2589208,8728,2010,HYUNDAI,ACCENT,KMHCN4AC7AU496211,ACCIDENT,K,
97,2604086,9479,1988,DODGE,CARAVAN,2B4FK4133JR741736,ABANDONED, ,
98,2606054,9572,2002,GMC,YUKON XL 1500,3GKFK16Z12G359005,ACCIDENT, ,
99,2582164,8394,2006,MITSUBISHI,GALLANT,4A3AB36F96E071248,ARREST, ,
100,2584201,8466,1995,GMC,YUKON,1GKEK18K3SJ706635,ABANDONED, ,
101,2366939,898711,,HONDA,ACCORD,  1HGCE6677TA010868,STOLEN,,
102,2586467,8578,2005,JEEP,GRAND CHER,1J4HR48N85C603374,ACCIDENT, ,
103,2585395,8529,1988,JEEP,CHEROKEE,1JCMR7823JT038746,STOLEN, ,
104,2605953,9570,2000,FORD,ECONOLINE,1FTRE14W2YHA79682,ILLEGALLY PARKED, ,
105,2583827,8453,2001,FORD,MUSTANG,1FAFP40411F139204,ACCIDENT,K,
106,2595255,9040,2003,CHRYSLER,TOWN-COUNT,2C4GP44303R137665,ABANDONED, ,
107,2584330,8471,1996,FORD,CROWN VICT,2FALP71W9TX181115,ARREST, ,
108,2538642,6431,1988,OLDSMOBILE,98,1G3CW51C0J1327902,ARREST, ,
109,2591552,8837,1986,JEEP,COMANCHEE,1JTWW6673GT006611,ACCIDENT, ,
110,2585459,8538,2003,JEEP,LIBERTY,1J4GL58K23W575981,ACCIDENT,K,
111,2598843,9206,2016,FORD,EXPLORER,1FM5K7D84GGD34795,STOLEN, ,PREMIUM 
112,2584070,8461,2004,CHEVROLET,TRAIL BLAZER,1GNDT13S442383678,ABANDONED, ,
113,2602735,9399,2001,NISSAN,ALTIMA,1N4DL01D11C190049,ABANDONED, ,
114,2604496,9499,2000,MITSUBISHI,DIAMANTE,6MMAP67P7YT005900,ILLEGALLY PARKED, ,
115,2601739,9334,2008,CHRYSLER,SEBRING,1C3LC56R58N125537,ABANDONED, ,
116,2602790,9401,2007,CHRYSLER,TOWN-COUNT,1A4GJ45R57B155291,OTHER, ,
117,1991755,879241,2013,CHEVROLET,MALIBU,1G11B5SA1DF213780,ARREST, ,
118,2602010,9351,2002,HONDA,CRV,JHLRD78812C044592,ABANDONED, ,
120,2613202,9932,1985,TOYOTA,MR-2,JT2AW15C2F0013894,ACCIDENT, ,
121,2588562,8680,2007,KIA,OTHER,KNAFG525677071939,ABANDONED, ,
122,2600914,9300,2006,BUICK,LUCERNE,1G4HD57206U229609,ACCIDENT,,
123,2586706,8592,1998,GMC,ENVOY,1GKDT13W0W2553439,ACCIDENT,K,
124,2596954,9118,1995,CHEVROLET,CAMARO,2G1FP32S8S2175631,ILLEGALLY PARKED, ,
125,2587039,8613,1998,HONDA,CIVIC,1HGEJ824XWL101783,ABANDONED, ,
126,2603488,9439,2002,FORD,EXPLORER,1FMZU72EX2ZC38493,ABANDONED, ,
127,2566641,7619,-,GMC,OTHER,C9S177183,STOLEN, ,
128,2590873,8806,2001,PONTIAC,GRAND PRIX,1G2WP52K41F100106,ACCIDENT,K,
129,2601795,9337,2005,CHEVROLET,IMPALA,2G1WH52K459143733,ABANDONED, ,
130,2587191,8617,2007,KIA,SPECTRA,KNAFE122X75483572,ACCIDENT, ,
131,2587448,8635,2000,CHEVROLET,MONTE CARLO,2G1WX12K2Y9382231,ACCIDENT,K,
132,2587340,8629,2003,TOYOTA,COROLLA,JTDBR32E730043585,ACCIDENT, ,
133,2596409,9098,1999,FORD,EXPLORER,1FMZU34E3XUA93890,ARREST,K,STARTS 
134,2609614,9734,2002,CHEVROLET,IMPALA,2G1WF55E829187127,ACCIDENT, ,
