Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Reason,K,Comments
202,2603000,9406,1998,FORD,RANGER,1FTYR10C8WUC28709,ABANDONED, ,
203,2592193,8868,2004,TOYOTA,COROLLA,1NXBR32E24Z235549,ACCIDENT,K,
204,2587896,8655,1997,CHRYSLER,TOWN-COUNT,1C4GP54L7VB369736,ARREST,K,
205,2592560,8891,2007,MITSUBISHI,OTHER,1Z7HC22K17S213207,ABANDONED, ,
206,2595756,9060,1996,JEEP,GRAND CHER,1J4GZ78Y7TC354506,ARREST,K,
207,2602004,9345,2004,SATURN,L SERIES,1G8JC54F94Y510632,ABANDONED, ,
208,2574750,8011,2004,TOYOTA,COROLLA,1NXBR32E44Z205498,OTHER,,
209,2600339,9277,2006,SUZUKI,OTHER,JS1GN7DA462102985,ABANDONED, ,
210,2601686,9325,2000,CHEVROLET,MONTE CARLO,2G1WX12K3Y9323883,ABANDONED, ,
211,2593874,8960,1998,MITSUBISHI,GALLANT,4A3AJ56G0WE039456,ABANDONED, ,
214,2597862,9164,2006,HONDA,ACCORD,1HGCM56456A086693,ACCIDENT,K,
215,2592969,8908,2002,FORD,EXPLORER,1FMZU73E62UC41936,ABANDONED, ,
216,2593180,8915,1998,LINCOLN,TOWN CAR,1LNFM82W1WY619792,ACCIDENT,,
217,2593191,8914,2001,MITSUBISHI,ECLIPSE,4A3AC54H51E148719,OTHER,K,
218,2593198,8917,2003,HONDA,ACCORD,1HGCM66523A087987,ILLEGALLY PARKED, ,
219,2600365,9279,2006,FORD,F150,1FTPW14566KA65537,ACCIDENT,K,
220,2602108,9362,1995,NISSAN,MAXIMA,JN1CA21DXST064610,ILLEGALLY PARKED,,
221,2608000,9680,2007,MITSUBISHI,GALLANT,4A3AB36F47E084944,STOLEN, ,
222,2594101,8975,2007,FORD,FOCUS,1FAFP34NX7W182851,ARREST,,
223,2597666,9153,2003,FORD,MUSTANG,1FAFP40403F321060,ACCIDENT,K,
224,2597813,9163,1997,TOYOTA,CAMRY,4T1BG22K7VU010390,ARREST,K,
225,2593693,8956,1999,CHEVROLET,CAVALIER,4G1JF32T1XB906272,ACCIDENT, ,
226,2593867,8965,2002,OLDSMOBILE,ALERO,1G3NL12F82C303307,ABANDONED, ,
227,2593486,8940,2008,NISSAN,ALTIMA,1N4AL21E68N401848,ACCIDENT,K,
228,2594053,8973,1999,PONTIAC,GRAND AM,1G2NE12E3XM803690,ABANDONED, ,
229,2593841,8959,2005,NISSAN,MAXIMA,1N4BA41E95C836957,ACCIDENT,K,
230,2597268,9127,1998,TOYOTA,CAMRY,4T1BG22K9WU304763,OTHER, ,
231,2597815,9162,2007,SATURN,AURA,1G8ZV57777F278095,ACCIDENT,,
232,2594947,9020,1999,CHEVROLET,LUMINA,2G1WL52M2X9105145,ACCIDENT, ,
233,2592613,8897,2007,CHEVROLET,IMPALA,2G1WB58K479351087,ACCIDENT, ,
234,2592576,8893,1986,CHEVROLET,EL CAMINO,3GCCW80H2GS901096,ABANDONED, ,
235,2607897,9679,2013,HYUNDAI,SONATA,5NPEB4AC0DH694813,ACCIDENT, ,
236,2609519,9732,2005,ACURA,MDX,2HNYD18235H500895,ACCIDENT, ,
237,2611348,9826,2005,DODGE,CARAVAN,1D4GP25B95B346501,ACCIDENT, ,
238,2592647,8899,2002,FORD,TAURUS,1FAFP53U22G199800,ILLEGALLY PARKED,K,STARTS 
239,2606766,9615,1993,FORD,MUSTANG,1FACP44M6PF152553,ARREST,K,
240,2614607,10013,2004,TOYOTA,CAMRY,4T1BE32K94U297614,ILLEGALLY PARKED, ,PREMIUM 
241,2593313,8928,2010,FORD,ESCAPE,1FMCU0DG5AKC83277,ACCIDENT,,
242,2593543,8948,2005,CHEVROLET,EQUINOX,2CNDL13F056127663,ACCIDENT, ,
243,2592596,8896,1994,HONDA,ACCORD,1HGCD5658RA003464,ARREST, ,
244,2596575,9103,1997,FORD,TAURUS,1FALP52U2VA266536,ACCIDENT, ,
245,2593195,8916,2004,SATURN,ION,1G8AJ52F24Z178794,ABANDONED, ,
246,2600782,9291,2001,OLDSMOBILE,ALERO,1G3NL52E31C114920,ABANDONED, ,
247,2593314,8929,2000,MERCEDES,M-CLASS,4JGAB72E6YA186659,ACCIDENT,K,
248,2593281,8921,2000,DODGE,DAKOTA,1B7GL22X6YS775981,STOLEN, ,
249,2599364,9225,2009,TOYOTA,COROLLA,1NXBU40E39Z125060,ACCIDENT,K,
250,2606444,9597,1997,FORD,MUSTANG,1FALP42X9VF206387,ACCIDENT, ,
251,2593417,8935,2003,PONTIAC,SUNFIRE,1G2JB14F937216254,ARREST, ,
252,2606327,9589,1996,CADILLAC,EL DORADO,1G6EL12Y4TU616161,ABANDONED, ,
253,2593872,8964,2006,HONDA,PILOT,5FNYF28576B024917,ABANDONED, ,
254,2597245,9130,1990,MERCURY,COUGAR,1MEPM6041LH608977,ARREST, ,
255,2605305,9540,1990,JEEP,WRANGLER,2J4FY29T6LJ506768,ABANDONED, ,
256,2600370,9280,2005,FORD,FIVE HUNDRED,1FAHP28155G196027,ACCIDENT, ,
257,2600447,9284,2002,CHEVROLET,MALIBU,1G1ND52J42M727644,ACCIDENT,K,
258,2593275,8924,2000,LEXUS,RX 300,JT6GF10U2Y0058846,ILLEGALLY PARKED, ,
259,2600499,9286,2010,DODGE,AVENGER,1B3CC4FB5AN174821,ACCIDENT,,
260,2613355,9941,1987,CHEVROLET,VAN,1GBEG25K2H7137486,ABANDONED, ,
261,2596231,9089,-,OTHER-NOT IN LIST,OTHER,NOT VISIBLE,ACCIDENT, ,
262,2590094,8775,2001,YAMAHA,OTHER,JYASA17A51A000237,ARREST, ,
263,2610232,9773,2007,CHEVROLET,IMPALA,2G1WB55K979291487,ACCIDENT, ,
264,2610209,9771,2004,PONTIAC,GRAND PRIX,2G2WP522441322446,ACCIDENT, ,
265,2606507,9601,2000,JEEP,GRAND CHER,1J4GW58SXYC102197,ABANDONED, ,
266,2597270,9129,2006,SUZUKI,OTHER,JS3TE943464100953,ACCIDENT,K,
267,2615192,10040,2005,FORD,TAURUS,1FAFP53235A123895,ABANDONED, ,
268,2604221,9482,1998,MAZDA,PROTEGE,JM1BC141XW0202958,ARREST, ,
269,2609175,9724,2002,SUBARU,IMPREZA,JF1GG29692G836743,ABANDONED, ,STARTS 
270,2600803,9293,2000,CHEVROLET,IMPALA,2G1WH55K3Y9274264,ILLEGALLY PARKED, ,
271,2605343,9542,2009,DODGE,AVENGER,1B3LC56B39N555665,ACCIDENT,,
272,2600763,9290,2004,CHEVROLET,TRAIL BLAZER,1GNDT13S842175769,ACCIDENT, ,
273,2603572,9444,1997,HONDA,ACCORD,1HGCD5632VA199071,ACCIDENT, ,
274,2600826,9294,2004,CHRYSLER,PT CRUISER,3C8FY68B64T318515,ABANDONED, ,PREMIUM 
275,2599899,9259,2002,CHEVROLET,TRAIL BLAZER,1GNDT13S322352757,OTHER, ,
276,2597977,9172,1992,TOYOTA,CAMRY,JT2SK13E7N0076511,ACCIDENT,K,
277,2601746,9333,2005,SUBARU,LEGACY,4S3BL676654200054,ILLEGALLY PARKED, ,
278,2600859,9295,1995,OLDSMOBILE,CUTLASS,1G3WH12MXSD320494,ILLEGALLY PARKED, ,
279,2602635,9387,1999,MERCURY,COUGAR,1ZWFT61L1X5668411,ACCIDENT, ,
280,2602364,9376,2002,INFINITI,I35,JNKDA31A62T031874,ABANDONED, ,PREMIUM 
281,2602809,9402,1998,FORD,TAURUS,1FAFP52UXWA276794,ARREST,K,
282,2606708,9610,2004,HYUNDAI,ELANTRA,KMHDN46D34U850039,ABANDONED, ,
283,2602058,9356,1999,MERCURY,COUGAR,1ZWFT61L3X5665672,ABANDONED,K,
284,2603220,9419,1996,TOYOTA,CAMRY,4T1BF12K4TU122493,ILLEGALLY PARKED, ,
285,2600654,9288,1994,FORD,F150,1FTEX14H6RKB01245,ACCIDENT,,
286,2608051,9681,2003,CHRYSLER,CONCORDE,2C3AD56G63H506611,ABANDONED, ,
287,2602039,9348,2006,CHEVROLET,IMPALA,2G1WU581869210328,ILLEGALLY PARKED,,
288,2600907,9299,1998,LEXUS,ES 300,JT8BF28G1W0129389,ACCIDENT,K,
289,2599606,9238,2009,PONTIAC,VIBE,5Y2SR67039Z417435,ACCIDENT, ,
290,2612712,9903,2008,HONDA,ODYSSEY,5FNRL38788B082798,ILLEGALLY PARKED, ,PREMIUM 
291,2601464,9318,2001,DODGE,RAM,1B7HC16X11S330806,ILLEGALLY PARKED, ,
292,2603095,9410,2000,FORD,F150,2FTZF1725YCA50741,ILLEGALLY PARKED, ,
293,2608121,9682,2011,CHEVROLET,CRUZE,1G1PH5S96B7252211,ACCIDENT,K,
294,2598313,9178,1992,FORD,F150,1FTDF15Y3NLA18471,ABANDONED, ,
295,2600977,9301,1994,BMW,3 SERIES,WBACB4323RFL19072,ACCIDENT,K,
296,2603176,9418,2003,CHEVROLET,VENTURE,1GNDX03E03D211336,STOLEN, ,
297,2599575,9233,2006,DODGE,GRAND CARA,2D4GP44LX6R898162,ACCIDENT, ,
298,2603208,9420,1996,FORD,MUSTANG,1FALP4044TF102878,ACCIDENT, ,
299,2603115,9411,2004,CHEVROLET,TRAIL BLAZER,1GNDT13S442315199,ACCIDENT,K,
300,2612962,9920,2015,CADILLAC,SRX,3GYFNBE3XFS523578,ACCIDENT,K,
301,2606767,9616,1993,HONDA,CIVIC,2HGEJ2144PH526185,ABANDONED, ,
302,2601387,9315,1999,MERCURY,MOUNTAINEER,4M2ZU55P4XUJ00243,ABANDONED, ,
303,2601946,9344,1996,SATURN,S SERIES,1G8ZK5271TZ258174,ACCIDENT,K,
304,2595129,9031,2006,PONTIAC,G6,1G2ZG558064282709,ARREST,K,
